node_index,position_nm,domain,is_free_dof,classical_displacement_nm,vqls_displacement_nm,absolute_error_nm
210,210.0,MD,1,10.566801619442424,11.29623065517877,0.7294290357363451
211,211.0,MD,1,10.61711972239215,11.349876266332863,0.7327565439407131
212,212.0,MD,1,10.667437825341876,11.403547679077251,0.7361098537353747
213,213.0,MD,1,10.717755928291602,11.457184619715587,0.7394286914239849
214,214.0,MD,1,10.768074031241328,11.51084449532486,0.7427704640835326
215,215.0,MD,1,10.818392134191054,11.564495118758161,0.7461029845671074
216,216.0,MD,1,10.86871023714078,11.618142563914603,0.7494323267738228
217,217.0,MD,1,10.919028340090506,11.671759370457103,0.752731030366597
218,218.0,MD,1,10.96934644304023,11.725392324518053,0.7560458814778226
219,219.0,MD,1,11.019664545989954,11.7789836413923,0.7593190954023452
220,220.0,MD,1,11.069982648939678,11.832573271108032,0.7625906221683536
221,221.0,MD,1,11.1203007518894,11.886141021719675,0.7658402698302744
222,222.0,MD,1,11.170618854839125,11.939739429727537,0.7691205748884116
223,223.0,MD,1,11.22093695778885,11.993289153989053,0.7723521962002042
224,224.0,MD,1,11.271255060738572,12.04685238775273,0.7755973270141592
225,225.0,MD,1,11.321573163688294,12.100337090612383,0.7787639269240891
226,226.0,MD,1,11.371891266638015,12.153882725563662,0.7819914589256474
227,227.0,MD,1,11.422209369587737,12.207395854461334,0.7851864848735968
228,228.0,MD,1,11.47252747253746,12.260910779306844,0.7883833067693846
229,229.0,MD,1,11.522845575487182,12.314404887335956,0.7915593118487738
230,230.0,MD,1,11.573163678436904,12.367922508450196,0.7947588300132917
231,231.0,MD,1,11.623481781386626,12.421423358686901,0.7979415773002749
232,232.0,MD,1,11.67379988433635,12.47490297177485,0.8011030874384986
233,233.0,MD,1,11.724117987286071,12.528337178867998,0.804219191581927
234,234.0,MD,1,11.774436090235792,12.581832431963043,0.8073963417272516
235,235.0,MD,1,11.824754193185512,12.635309846393037,0.8105556532075244
236,236.0,MD,1,11.875072296135233,12.688770931906628,0.8136986357713951
237,237.0,MD,1,11.925390399084952,12.742187829417984,0.8167974303330325
238,238.0,MD,1,11.975708502034673,12.795628898871563,0.8199203968368902
239,239.0,MD,1,12.026026604984393,12.849034074393781,0.8230074694093883
240,240.0,MD,1,12.076344707934114,12.902440888737468,0.8260961808033542
241,241.0,MD,1,12.126662810883834,12.9557661982551,0.8291033873712657
242,242.0,MD,1,12.176980913833555,13.009154998750082,0.8321740849165273
243,243.0,MD,1,12.227299016783276,13.062505066492006,0.8352060497087308
244,244.0,MD,1,12.277617119732996,13.115863419081268,0.8382462993482722
245,245.0,MD,1,12.327935222682717,13.169151984842076,0.8412167621593589
246,246.0,MD,1,12.37825332563244,13.222476385237373,0.8442230596049338
247,247.0,MD,1,12.428571428582162,13.275793683715786,0.8472222551336248
248,248.0,MD,1,12.478889531531884,13.329070885023086,0.8501813534912017
249,249.0,MD,1,12.529207634481605,13.382288843836085,0.85308120935448
250,250.0,MD,1,12.579525737431325,13.435556177019764,0.856030439588439
251,251.0,MD,1,12.629843840381048,13.488801882519942,0.8589580421388945
252,252.0,MD,1,12.68016194333077,13.542034725882022,0.8618727825512522
253,253.0,MD,1,12.730480046280492,13.595229923363608,0.8647498770831152
254,254.0,MD,1,12.780798149230213,13.648433130369622,0.8676349811394086
255,255.0,MD,1,12.831116252179935,13.70159613485402,0.8704798826740845
256,256.0,MD,1,12.881434355129658,13.754739695101097,0.8733053399714397
257,257.0,MD,1,12.931752458079382,13.807969846685035,0.876217388605653
258,258.0,MD,1,12.982070561029104,13.861103340357626,0.8790327793285222
259,259.0,MD,1,13.032388663978828,13.914235376856755,0.8818467128779268
