time_ps,atom_index,full_lj_displacement_nm,full_lj_native_velocity_nm_per_ps,continuous_k2_displacement_nm,continuous_k2_native_velocity_nm_per_ps,unprojected_be_displacement_nm,unprojected_be_native_velocity_nm_per_ps,relifted_be_displacement_nm,relifted_be_native_velocity_nm_per_ps
0.07200000000000001,0,0.00838685625324569,-0.04204024061418769,0.00839340942771629,-0.04193645277289729,0.008362476596433627,-0.04153676490817831,0.008364231213922603,-0.04145444539150104
0.07200000000000001,1,0.001570625427686621,0.03972512606518088,0.0015643377544450844,0.03963620134275614,0.0015883891979570689,0.03907193670049165,0.0015866408313715246,0.03898958286571073
0.07200000000000001,2,4.251831906768887e-05,0.0023151145490068283,4.225281783865447e-05,0.002300251430141119,4.9134205609307386e-05,0.002464828207686648,4.9127954705886855e-05,0.002464862525790235
0.074,0,0.008301910111560987,-0.04290212857096602,0.008308666626312012,-0.04280263036343783,0.008277705702230865,-0.04238544710138209,0.008279635798599274,-0.04229770766166385
0.074,1,0.0016507531326498638,0.0403972601233156,0.0016442931128479187,0.04031390384795244,0.001667839834694603,0.039725318368767075,0.001665915777725885,0.03963747317718034
0.074,2,4.733675578914907e-05,0.002504868447650439,4.704026084010313e-05,0.0024887265154853394,5.4454463074537365e-05,0.0026601287326149864,5.444842367485371e-05,0.0026602344844834304
0.076,0,0.008215262941682852,-0.04374121308354737,0.008222213898626608,-0.04364632000521531,0.00819128243135549,-0.04321163543768569,0.008193399066658844,-0.04311836597021431
0.076,1,0.0017321930368315818,0.04103724812046701,0.001725572194542043,0.04095984432605211,0.0017485338233492658,0.04034699432733142,0.0017464228495964215,0.04025353593526803
0.076,2,5.2544021485565406e-05,0.0027039649630803695,5.221390683138548e-05,0.0026864756791631465,6.018374529524582e-05,0.002864641110354235,6.0178083744746074e-05,0.002864830034946189
0.078,0,0.008126960678483069,-0.044557169349148266,0.00813409656886217,-0.04446717639262961,0.008103252403995129,-0.04401501368018169,0.008105566832549817,-0.043916117054511455
0.078,1,0.0018148803947379648,0.04164464149392666,0.001808111002811063,0.04157355471885362,0.0018304069104609802,0.040936543555857074,0.001828097574457767,0.040837362430672625
0.078,2,5.815892677896625e-05,0.0029125278552216234,5.7792428326801854e-05,0.0028936216737759377,6.634068554389501e-05,0.003078470124324593,6.633559299242354e-05,0.0030787546238387285
0.08,0,0.008037049887342952,-0.04534969166795313,0.008044360633792021,-0.0452648722824231,0.008013661837069669,-0.044795283462729395,0.008016185480189534,-0.044690676180142566
0.08,1,0.001898749592681391,0.04221902065280852,0.0018918446325545308,0.04215459475373983,0.0019133940561403952,0.04149357283970743,0.0019108747194061819,0.041388572474207234
