time_ps,continuous_k2_eta,continuous_k2_eta_relative,unprojected_be_eta,unprojected_be_eta_relative,relifted_be_preprojection_eta,relifted_be_preprojection_eta_relative,relifted_be_postprojection_eta,relifted_be_postprojection_eta_relative,max_abs_unprojected_vs_relifted_displacement_nm,max_abs_unprojected_vs_relifted_native_velocity_nm_per_ps
0.05,0.0003143970064268682,0.16006146605322916,0.00026115464259695903,0.13516413047230494,8.985452920962768e-06,0.004660136127448638,0.0,0.0,4.758106887589597e-07,3.290390535134677e-05
0.052000000000000005,0.00033321020701931203,0.15922504758145936,0.0002789334969898581,0.13558828317320604,9.063374352966551e-06,0.0044154483191280736,0.0,0.0,5.487747151457223e-07,3.648201319148697e-05
0.054,0.00035184957250270177,0.15829618642587026,0.00029665987268023944,0.13585345548628688,9.107910163174477e-06,0.00418084697353576,0.0,0.0,6.292932255257122e-07,4.025925518973128e-05
0.056,0.0003702358548583912,0.15728075743462872,0.0003142550321134058,0.135970532557148,9.119442922757424e-06,0.003955819422482171,0.0,0.0,7.177574002058262e-07,4.423208733914802e-05
0.058,0.00038829113882791886,0.15618373880359973,0.00033164130648371073,0.1359490685301764,9.098521975349598e-06,0.003739879334426546,0.0,0.0,8.145494068533682e-07,4.839600332404853e-05
0.06,0.000405939192144327,0.1550093793645458,0.0003487424240817564,0.1357974750124569,9.045855553926479e-06,0.0035325694290264343,0.0,0.0,9.200404958234487e-07,5.2745544482701856e-05
0.062,0.00042310580746063265,0.15376133237239792,0.0003654838339961278,0.1355231819349325,8.962303029454538e-06,0.0033334626600904755,0.0,0.0,1.0345891231413468e-06,5.727431365923352e-05
0.064,0.0004397191345644711,0.15244276332993176,0.00038179302327458886,0.13513277487555875,8.84886718892522e-06,0.0031421623706607404,0.0,0.0,1.158539108866291e-06,6.19749928611052e-05
0.066,0.0004557100015171702,0.15105643757718398,0.00039759982586503803,0.1346321124651272,8.706686496838294e-06,0.0029583017829870476,0.0,0.0,1.292217838112092e-06,6.683936462271306e-05
0.068,0.0004710122234176463,0.14960479202957566,0.0004128367218413987,0.13402642702616893,8.537027340027774e-06,0.0027815430847378283,0.0,0.0,1.435934512033013e-06,7.185833696077282e-05
0.07,0.0004855628975650975,0.14808999444578896,0.00042743912558537223,0.1333204111484723,8.341276296022918e-06,0.002611576300807266,0.0,0.0,1.5899784556235724e-06,7.702197179289966e-05
0.07200000000000001,0.000499302683878568,0.1465139928531164,0.0004413456617494811,0.13251829250316705,8.120932504209172e-06,0.0024481180900731547,0.0,0.0,1.7546174889762622e-06,8.235383478092523e-05
0.074,0.0005121760695254075,0.14487855718895046,0.00045449842797566436,0.1316238988481724,7.877600260807034e-06,0.0022909105730615606,0.0,0.0,1.9300963684087263e-06,8.784519158673565e-05
0.076,0.0005241316168139612,0.14318531478508412,0.00046684324349106156,0.13064071488073556,7.612982007718095e-06,0.0021397202761293086,0.0,0.0,2.116635303353251e-06,9.345839206339329e-05
0.078,0.0005351221935182227,0.14143578099217868,0.0004783298828514545,0.12957193234384262,7.328871947337014e-06,0.001994337268348427,0.0,0.0,2.3144285546880528e-06,9.918112518444988e-05
0.08,0.0005451051849234245,0.13963138598998703,0.0004889122942556493,0.12842049458723853,7.027150598160426e-06,0.0018545745678679563,0.0,0.0,2.523643119865457e-06,0.00010500036550019354
0.082,0.0005540426870116822,0.13777349863622315,0.0004985488020127917,0.12718913661517176,6.709780720811067e-06,0.00172026790561144,0.0,0.0,2.7444175095207163e-06,0.00011090240878113694
0.084,0.0005619016803457618,0.135863448059664,0.0005072022929110043,0.12588042151670192,6.378805207762951e-06,0.0015912759576929682,0.0,0.0,2.9768606202660447e-06,0.00011687290982948656
0.08600000000000001,0.0005686541843570488,0.1339025435910472,0.0005148403864113964,0.12449677406599452,6.036347768080925e-06,0.0014674811978062977,0.0,0.0,3.2210507074793143e-06,0.00012289692231244598
0.088,0.0005742773919011738,0.13189209354108636,0.0005214355887781109,0.12304051219573364,5.684617590229509e-06,0.001348791583817489,0.0,0.0,3.478599096994571e-06,0.00012895894046666828
0.09,0.0005787537841117279,0.1298334232728488,0.0005269654314543234,0.12151387698354249,5.3259196916968655e-06,0.0012351433896674979,0.0,0.0,3.748684982032933e-06,0.0001350429425188704
0.092,0.0005820712257596959,0.12772789297173498,0.000531412594207678,0.11991906174669056,4.962673456504077e-06,0.0011265056414200816,0.0,0.0,4.03094985336255e-06,0.00014113243566440253
0.094,0.0005842230415141489,0.12557691548732014,0.000534765013798541,0.11825824081258664,4.597443058227919e-06,0.0010228868400858381,0.0,0.0,4.325370858247659e-06,0.0001472105024424436
0.096,0.0005852080736989397,0.12338197460516796,0.0005370159791724213,0.11653359852026367,4.2329852618707005e-06,0.0009243449892817661,0.0,0.0,4.631890554936818e-06,0.00015325984834500817
0.098,0.0005850307223512362,0.12114464410185109,0.0005381642144460079,0.11474735901042973,3.872322728449353e-06,0.0008310024348763504,0.0,0.0,4.9504162559273895e-06,0.00015926285049509825
0.1,0.0005837009686111044,0.11886660794173474,0.0005382139512458735,0.11290181737811911,3.518854571962866e-06,0.0007430676917932884,0.0,0.0,5.280819470385948e-06,0.00016520160722906935
0.10200000000000001,0.0005812343827070831,0.11654968198887279,0.0005371749922712043,0.11099937279232773,3.1765201746183477e-06,0.0006608672009563765,0.0,0.0,5.622935447221252e-06,0.00017105798841773184
0.10400000000000001,0.0005776521180501617,0.11419583763112244,0.0005350627682866552,0.10904256423111375,2.850034852356441e-06,0.0005848903727945262,0.0,0.0,5.976562819946015e-06,0.0001768136863618125
0.106,0.0005729808932061545,0.11180722774591825,0.0005318983911062697,0.10703410953830993,2.5452087684325486e-06,0.0005158497689921518,0.0,0.0,6.341463354143234e-06,0.00018245026709830942
0.108,0.0005672529637805957,0.10938621547758721,0.0005277087054989639,0.10497694857882783,2.2693207537220315e-06,0.0004547505248940807,0.0,0.0,6.717361798054891e-06,0.00018794922195591868
0.11,0.0005605060865145747,0.10693540634388779,0.0005225263433187832,0.10287429135230658,2.031396343950701e-06,0.00040293975478819527,0.0,0.0,7.103945836456089e-06,0.00019329201920045835
0.112,0.0005527834781437216,0.10445768424332999,0.0005163897835196174,0.10072967201722219,1.8419718053854809e-06,0.00036205646858232553,0.0,0.0,7.500866147682351e-06,0.00019846015561358898
0.114,0.0005441337717983906,0.10195625199244528,0.000509343422021046,0.0985470098748818,1.711600487173604e-06,0.0003337435649988839,0.0,0.0,7.907736563385944e-06,0.00020343520785189723
0.116,0.0005346109738937752,0.0994346770795749,0.0005014376555970536,0.096330678456978,1.6476021956811034e-06,0.00031903564522384073,0.0,0.0,8.324134330260115e-06,0.00020819888343708015
0.11800000000000001,0.0005242744245327244,0.09689694337244047,0.0004927289839805066,0.09408558393809621,1.650268952108346e-06,0.0003176635045870287,0.0,0.0,8.749600472725532e-06,0.00021273307123199914
0.12,0.0005131887643593815,0.09434750955042545,0.00048328013408987494,0.09181725413423393,1.711629126995347e-06,0.0003278596053461908,0.0,0.0,9.18364025525014e-06,0.00021701989126267363
0.122,0.0005014239104667994,0.09179137503304612,0.000473160209506597,0.08953193931634251,1.8182506299105297e-06,0.00034691916200896636,0.0,0.0,9.625723742751578e-06,0.00022104174375055935
0.124,0.0004890550432452406,0.0892341541193907,0.0004624448667960613,0.08723672591340273,1.9556425888592703e-06,0.00037202236574578106,0.0,0.0,1.0075286457202591e-05,0.00022478135722544396
0.126,0.00047616260477344565,0.08668215890352944,0.00045121651759583224,0.08493966382768066,2.111237508800921e-06,0.0004008032297238189,0.0,0.0,1.053173012839203e-05,0.00022822183559463582
0.128,0.0004628323072459076,0.08414249123657086,0.0004395645510760157,0.08264990742868727,2.2753379227242942e-06,0.00043147966007360604,0.0,0.0,1.0994423536492617e-05,0.00023134670405037389
0.13,0.00044915514665018187,0.08162314349492918,0.0004275855647291006,0.08037786918455024,2.4408930455622015e-06,0.00046278639640458724,0.0,0.0,1.1462703443899762e-05,0.00023413995370313162
0.132,0.0004352274120149353,0.07913310708865676,0.0004153835816251627,0.07813538313616103,2.602922255041857e-06,0.000493854457459514,0.0,0.0,1.1935875613568007e-05,0.0002365860848352122
0.134,0.0004211506734997972,0.07668248637654067,0.0004030702183127533,0.07593587278233618,2.7579648969626667e-06,0.0005240979449320681,0.0,0.0,1.2413215910922135e-05,0.00023867014867570008
0.136,0.0004070317227904244,0.07428261379208563,0.00039076474853784807,0.07379451416120854,2.903658912112336e-06,0.0005531293628954502,0.0,0.0,1.2893971486131056e-05,0.00024037778760388484
0.138,0.0003929824261369912,0.07194615935817936,0.0003785939833607923,0.071728379754085,3.038443809076652e-06,0.0005807010164304504,0.0,0.0,1.3377362033523132e-05,0.00024169527369578836
0.14,0.0003791194336302591,0.06968722422955367,0.00036669185856220136,0.06975654222027299,3.1613576420766393e-06,0.0006066657673126973,0.0,0.0,1.3862581124592793e-05,0.00024260954553475406
0.14200000000000002,0.0003655636682927467,0.06752140339139052,0.0003551985879661762,0.06790010915979358,3.2718990455173247e-06,0.0006309510984269505,0.0,0.0,1.4348797611020599e-05,0.0002431082432141074
0.14400000000000002,0.0003524394968840332,0.06546579730858314,0.0003442592124099651,0.06618215200522971,3.369932696390127e-06,0.0006535420671889396,0.0,0.0,1.4835157093951931e-05,0.00024317974146682853
0.146,0.0003398734647013766,0.0635389467013329,0.0003340213593427168,0.0646274856739535,3.455623336865118e-06,0.000674470145009809,0.0,0.0,1.532078345568063e-05,0.0002428131808637976
